po_/_so_#,country,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,days_to_process
0,1064,5,60,546,3822.0,7.0,0.12,1,0.0,0,-419
0,1107,2,20,9048,244296.0,27.0,1.35,1,20635.3,0,-255
0,1107,2,100,3000,239970.0,79.99,0.8,1,12770.05,0,-448
0,1107,2,100,3199,255888.01,79.99,0.8,1,8213.59,0,-446
0,1402,1,30,400,8416.0,21.04,0.7,1,0.0,3,-497
0,181,2,100,805,62967.1,78.22,0.78,1,0.0,0,-460
0,588,3,100,4200,42.0,0.01,0.0,1,0.0,0,-353
0,648,2,100,2000,143980.0,71.99,0.72,1,4113.16,0,-392
0,1064,2,100,70,5039.3,71.99,0.72,1,515.48,0,-419
0,1064,2,100,1116,78120.0,70.0,0.7,1,5303.05,0,-402
0,762,2,100,850,61191.5,71.99,0.72,1,2642.45,0,-375
0,1402,5,90,20,563.0,28.15,0.31,1,0.0,3,-458
0,1402,1,30,2500,37500.0,15.0,0.5,0,0.0,3,-403
0,673,1,60,520,13000.0,25.0,0.42,1,5260.46,0,-329
0,673,1,60,2576,3889.76,1.51,0.03,1,2789.74,0,-349
0,673,1,60,2464,3720.64,1.51,0.03,1,2879.96,0,-346
0,44,2,100,100,7199.0,71.99,0.72,1,641.04,0,-305
0,44,3,100,100,1.0,0.01,0.0,1,0.0,0,-329
0,44,2,100,100,7199.0,71.99,0.72,1,1038.39,0,-271
0,181,2,20,81,3798.09,46.89,2.34,1,0.0,0,-335
0,1402,1,84,4,38.88,9.72,0.12,0,0.0,3,-383
0,1402,1,60,150,3166.5,21.11,0.35,0,0.0,3,-389
0,1402,1,60,1350,6979.5,5.17,0.09,0,0.0,3,-389
0,615,2,100,1123,78610.0,70.0,0.7,1,2873.56,0,-196
0,648,2,20,9000,288000.0,32.0,1.6,1,34902.96,0,-248
0,673,1,30,2016,24917.76,12.36,0.41,1,5921.97,0,-254
0,1402,1,30,1000,16190.0,16.19,0.54,0,0.0,3,-328
0,1107,2,20,12315,332505.0,27.0,1.35,1,29954.15,0,-223
0,762,1,30,50,1183.5,23.67,0.79,1,330.0,0,-265
0,673,1,60,1440,10440.0,7.25,0.12,1,2147.61,0,-184
0,648,3,100,4500,45.0,0.01,0.0,0,3549.77,0,-224
0,1402,5,200,60,360.6,6.01,0.03,1,0.0,3,-287
0,1402,1,60,130,644.8,4.96,0.08,0,0.0,3,-291
0,1402,1,60,40,1337.2,33.43,0.56,0,0.0,3,-287
0,95,2,25,1,75.0,75.0,3.0,1,0.0,0,-249
0,1064,0,12,50000,19500.0,0.39,0.03,0,3549.77,0,-129
0,588,2,100,1000,80000.0,80.0,0.8,1,3499.18,0,-104
0,588,2,100,1000,71990.0,71.99,0.72,1,2648.82,0,-241
0,1064,2,40,862,65512.0,76.0,1.9,1,25080.52,0,-171
0,1107,1,30,5900,297360.0,50.4,1.68,1,1727.2,0,-234
0,648,2,100,5500,395945.0,71.99,0.72,1,12646.15,0,-75
0,673,1,60,6156,14774.4,2.4,0.04,1,3854.23,0,-98
0,95,2,100,150,10800.0,72.0,0.72,1,2946.64,0,-130
0,762,1,30,50,917.0,18.34,0.61,1,378.0,0,-174
0,1402,1,60,1200,5772.0,4.81,0.08,0,0.0,3,-235
0,494,2,20,839,26848.0,32.0,1.6,1,3261.37,0,-133
0,1107,2,100,5259,420720.0,80.0,0.8,1,22775.45,0,-116
0,95,2,100,7,490.0,70.0,0.7,0,3549.77,0,-125
0,237,2,20,1062,33984.0,32.0,1.6,1,4457.29,0,-80
0,237,2,100,213,15336.0,72.0,0.72,1,1083.36,0,-76
0,673,1,60,336,2520.0,7.5,0.12,1,2525.73,0,-51
0,673,1,60,300,3345.0,11.15,0.19,0,3549.77,0,-55
0,403,2,100,386,27020.0,70.0,0.7,1,3936.25,0,-61
0,615,5,60,80,560.0,7.0,0.12,0,3549.77,0,-62
0,615,1,120,1470,60417.0,41.1,0.34,1,2490.67,0,-47
0,1402,1,60,1000,3970.0,3.97,0.07,0,0.0,0,-185
0,1402,1,60,3675,9371.25,2.55,0.04,0,0.0,0,-185
0,1402,5,90,824,15515.92,18.83,0.21,0,0.0,0,-182
0,1402,1,60,10560,163046.4,15.44,0.26,1,0.0,0,-179
0,1402,1,60,10000,56800.0,5.68,0.09,1,0.0,0,-150
0,1402,1,60,1560,23649.6,15.16,0.25,0,0.0,0,-180
0,1402,5,30,360,849.6,2.36,0.08,1,4230.75,0,-178
0,1402,5,200,3000,5970.0,1.99,0.01,1,0.0,0,-130
0,1402,1,60,1977,23091.36,11.68,0.19,1,0.0,0,-59
0,1402,1,30,282,4314.6,15.3,0.51,1,0.0,0,-45
0,1402,5,240,30,312.6,10.42,0.04,0,0.0,0,-192
0,1402,1,30,60,1095.0,18.25,0.61,0,0.0,0,-131
0,1402,5,5,10,125.1,12.51,2.5,0,0.0,0,-131
0,1402,1,270,2,114.9,57.45,0.21,1,0.0,0,-129
0,1402,1,84,20,147.0,7.35,0.09,1,0.0,0,-129
0,1402,5,5,334,4559.1,13.65,2.73,1,0.0,0,-42
0,1402,1,30,3500,44170.0,12.62,0.42,1,0.0,0,-54
0,1402,5,90,2000,43360.0,21.68,0.24,0,0.0,0,-54
0,1402,1,120,1400,49532.0,35.38,0.29,1,0.0,0,-53
0,1402,1,60,1800,7110.0,3.95,0.07,0,0.0,0,-53
0,1402,5,100,800,9888.0,12.36,0.12,1,0.0,0,-41
0,1402,1,60,36,254.88,7.08,0.12,1,0.0,3,4
0,1402,5,100,30,371.1,12.37,0.12,1,0.0,3,-28
0,108,2,100,7500,600000.0,80.0,0.8,1,17974.65,0,88
0,403,1,60,54432,641753.28,11.79,0.2,1,61925.7,0,112
0,95,2,100,180,12600.0,70.0,0.7,1,2760.11,0,-12
0,1064,1,60,2048,109998.08,53.71,0.9,1,0.0,0,71
0,673,1,60,35616,240408.0,6.75,0.11,1,10048.1,0,50
0,673,1,30,6552,42588.0,6.5,0.22,1,4453.71,0,63
0,673,1,60,15960,23142.0,1.45,0.02,1,9931.49,0,39
0,673,1,60,3500,39025.0,11.15,0.19,0,3549.77,0,39
0,673,5,60,120,840.0,7.0,0.12,1,0.0,0,52
0,1402,1,60,360,7041.6,19.56,0.33,1,0.0,3,50
0,1402,1,30,40,678.8,16.97,0.57,0,0.0,3,50
0,1402,1,60,200,3136.0,15.68,0.26,0,0.0,3,57
0,1402,5,240,30,328.2,10.94,0.05,0,0.0,3,57
